level	number	indep(index, 1)	GainTransducerContours[0, 0, ::]
1.86114672757377031E1	4	24	6.83901284475166982E-1 / 1.14993074216533153E2
1.86114672757377031E1	4	25	6.83712751035473243E-1 / 1.14988117039147575E2
1.86114672757377031E1	4	26	6.83522765971561252E-1 / 1.14983217892190392E2
1.86114672757377031E1	4	27	6.83331308127736925E-1 / 1.14978392424473874E2
1.86114672757377031E1	4	28	6.83138356288527060E-1 / 1.14973656302639959E2
1.86114672757377031E1	4	29	6.82943889181333752E-1 / 1.14969025211549836E2
1.86114672757377031E1	4	30	6.82747885479600747E-1 / 1.14964514854684463E2
1.86114672757377031E1	4	31	6.82550323806491299E-1 / 1.14960140954556556E2
1.86114672757377031E1	4	32	6.82351182739080464E-1 / 1.14955919253133709E2
1.86114672757377031E1	4	33	6.82150440813062975E-1 / 1.14951865512272899E2
1.86114672757377031E1	4	34	6.81948076527974845E-1 / 1.14947995514166790E2
1.86114672757377031E1	4	35	6.81744068352935795E-1 / 1.14944325061801300E2
1.86114672757377031E1	4	36	6.81538394732907271E-1 / 1.14940869979424942E2
1.86114672757377031E1	4	37	6.81331034095472532E-1 / 1.14937646113030101E2
1.86114672757377031E1	4	38	6.81121964858138007E-1 / 1.14934669330845840E2
1.86114672757377031E1	4	39	6.80911165436156285E-1 / 1.14931955523842877E2
1.86114672757377031E1	4	40	6.80698614250874723E-1 / 1.14929520606250191E2
1.86114672757377031E1	4	41	6.80484289738610837E-1 / 1.14927380516083888E2
1.86114672757377031E1	4	42	6.80268170360053492E-1 / 1.14925551215687860E2
1.86114672757377031E1	4	43	6.80050234610194693E-1 / 1.14924048692286673E2
1.86114672757377031E1	4	44	6.79830461028792410E-1 / 1.14922888958550340E2
1.86114672757377031E1	4	45	6.79608828211366234E-1 / 1.14922088053171234E2
1.86114672757377031E1	4	46	6.79385314820727437E-1 / 1.14921662041452954E2
1.86114672757377031E1	4	47	6.79159899599046657E-1 / 1.14921627015911509E2
1.86114672757377031E1	4	48	6.78932561380459543E-1 / 1.14921999096887895E2
1.86114672757377031E1	4	49	6.78703279104212953E-1 / 1.14922794433173370E2
1.86114672757377031E1	4	50	6.78472031828355782E-1 / 1.14924029202645772E2
1.86114672757377031E1	4	51	6.78238798743973081E-1 / 1.14925719612918376E2
1.86114672757377031E1	4	52	6.78003559189968996E-1 / 1.14927881901999918E2
1.86114672757377031E1	4	53	6.77766292668397963E-1 / 1.14930532338966329E2
1.86114672757377031E1	4	54	6.77526978860350226E-1 / 1.14933687224643988E2
1.86114672757377031E1	4	55	6.77285597642391135E-1 / 1.14937362892304096E2
1.86114672757377031E1	4	56	6.77042129103556878E-1 / 1.14941575708368116E2
1.86114672757377031E1	4	57	6.76796553562912351E-1 / 1.14946342073124419E2
1.86114672757377031E1	4	58	6.76548851587669731E-1 / 1.14951678421455106E2
1.86114672757377031E1	4	59	6.76299004011874771E-1 / 1.14957601223573525E2
1.86114672757377031E1	4	60	6.76046991955659760E-1 / 1.14964126985772053E2
1.86114672757377031E1	4	61	6.75792796845069432E-1 / 1.14971272251179313E2
1.86114672757377031E1	4	62	6.75536400432461015E-1 / 1.14979053600527381E2
1.86114672757377031E1	4	63	6.75277784817482019E-1 / 1.14987487652927989E2
1.86114672757377031E1	4	64	6.75016932468630149E-1 / 1.14996591066657206E2
1.86114672757377031E1	4	65	6.74753826245396393E-1 / 1.15006380539949005E2
1.86114672757377031E1	4	66	6.74488449420996794E-1 / 1.15016872811796467E2
1.86114672757377031E1	4	67	6.74220785705696191E-1 / 1.15028084662760710E2
1.86114672757377031E1	4	68	6.73950819270725709E-1 / 1.15040032915786283E2
1.86114672757377031E1	4	69	6.73678534772800930E-1 / 1.15052734437023529E2
1.86114672757377031E1	4	70	6.73403917379240990E-1 / 1.15066206136656568E2
1.86114672757377031E1	4	71	6.73126952793695477E-1 / 1.15080464969736340E2
1.86114672757377031E1	4	72	6.72847627282481842E-1 / 1.15095527937018494E2
1.86114672757377031E1	4	73	6.72565927701535760E-1 / 1.15111412085805087E2
1.86114672757377031E1	4	74	6.72281841523983559E-1 / 1.15128134510789293E2
1.86114672757377031E1	4	75	6.71995356868333538E-1 / 1.15145712354902474E2
1.86114672757377031E1	4	76	6.71706462527298953E-1 / 1.15164162810163107E2
1.86114672757377031E1	4	77	6.71415147997249484E-1 / 1.15183503118525943E2
1.86114672757377031E1	4	78	6.71121403508300673E-1 / 1.15203750572731201E2
1.86114672757377031E1	4	79	6.70825220055043658E-1 / 1.15224922517152573E2
1.86114672757377031E1	4	80	6.70526589427921849E-1 / 1.15247036348642706E2
1.86114672757377031E1	4	81	6.70225504245255088E-1 / 1.15270109517375707E2
1.86114672757377031E1	4	82	6.69921957985922134E-1 / 1.15294159527685136E2
1.86114672757377031E1	4	83	6.69615945022700565E-1 / 1.15319203938896164E2
1.86114672757377031E1	4	84	6.69307460656273800E-1 / 1.15345260366151381E2
1.86114672757377031E1	4	85	6.68996501149906209E-1 / 1.15372346481227872E2
1.86114672757377031E1	4	86	6.68683063764794472E-1 / 1.15400480013345241E2
1.86114672757377031E1	4	87	6.68367146796098588E-1 / 1.15429678749962505E2
1.86114672757377031E1	4	88	6.68048749609658721E-1 / 1.15459960537562645E2
1.86114672757377031E1	4	89	6.67727872679401369E-1 / 1.15491343282423164E2
1.86114672757377031E1	4	90	6.67404517625442395E-1 / 1.15523844951371091E2
1.86114672757377031E1	4	91	6.67078687252891545E-1 / 1.15557483572520470E2
1.86114672757377031E1	4	92	6.66750385591361727E-1 / 1.15592277235991281E2
1.86114672757377031E1	4	93	6.66419617935190534E-1 / 1.15628244094606702E2
1.86114672757377031E1	4	94	6.66086390884379753E-1 / 1.15665402364568282E2
1.86114672757377031E1	4	95	6.65750712386255294E-1 / 1.15703770326105726E2
1.86114672757377031E1	4	96	6.65412591777856477E-1 / 1.15743366324099917E2
1.86114672757377031E1	4	97	6.65072039829057005E-1 / 1.15784208768676788E2
1.86114672757377031E1	4	98	6.64729068786423305E-1 / 1.15826316135769880E2

level	number	indep(index, 1)	GainTransducerContours[0, 4, ::]
1.86114672757377031E1	5	0	6.64729068786423305E-1 / 1.15826316135769880E2
1.86114672757377031E1	5	1	6.64035926057751524E-1 / 1.15914399873412144E2

level	number	indep(index, 1)	GainTransducerContours[0, 5, ::]
1.86114672757377031E1	6	0	6.88044535591818995E-1 / 1.15089048398607163E2
1.86114672757377031E1	6	1	6.87884646615272821E-1 / 1.15087352567921175E2
1.86114672757377031E1	6	2	6.87723797801159975E-1 / 1.15085343717757072E2
1.86114672757377031E1	6	3	6.87561968910914345E-1 / 1.15083037158669632E2
1.86114672757377031E1	6	4	6.87399139733639952E-1 / 1.15080448212785447E2
1.86114672757377031E1	6	5	6.87235290076741734E-1 / 1.15077592213951596E2
1.86114672757377031E1	6	6	6.87070399757047312E-1 / 1.15074484507894192E2
1.86114672757377031E1	6	7	6.86904448592423744E-1 / 1.15071140452386023E2
1.86114672757377031E1	6	8	6.86737416393888278E-1 / 1.15067575417423873E2
1.86114672757377031E1	6	9	6.86569282958214711E-1 / 1.15063804785415336E2
1.86114672757377031E1	6	10	6.86400028061035705E-1 / 1.15059843951374963E2
1.86114672757377031E1	6	11	6.86229631450440269E-1 / 1.15055708323130101E2
1.86114672757377031E1	6	12	6.86058072841070032E-1 / 1.15051413321536145E2
1.86114672757377031E1	6	13	6.85885331908710683E-1 / 1.15046974380701572E2
1.86114672757377031E1	6	14	6.85711388285383805E-1 / 1.15042406948222498E2
1.86114672757377031E1	6	15	6.85536221554936454E-1 / 1.15037726485426939E2
1.86114672757377031E1	6	16	6.85359811249129702E-1 / 1.15032948467628948E2
1.86114672757377031E1	6	17	6.85182136844228928E-1 / 1.15028088384392535E2
1.86114672757377031E1	6	18	6.85003177758093962E-1 / 1.15023161739805646E2
1.86114672757377031E1	6	19	6.84822913347770346E-1 / 1.15018184052763939E2
1.86114672757377031E1	6	20	6.84641322907585170E-1 / 1.15013170857264901E2
1.86114672757377031E1	6	21	6.84458385667743219E-1 / 1.15008137702711988E2
1.86114672757377031E1	6	22	6.84274080793429285E-1 / 1.15003100154229232E2
1.86114672757377031E1	6	23	6.84088387384414265E-1 / 1.14998073792986166E2
